adware-removal-tool,http://www.bitdefender.com,Bitdefender Adware Removal Tool for Mac,https://download.bitdefender.com/mac/tools/Adware%20Removal%20Tool.zip,latest
aegisub,http://www.aegisub.org/,Aegisub,"",""
aerial,https://github.com/JohnCoates/Aerial,Aerial Screensaver,"",""
aether,http://getaether.net/,Aether,"",""
affinic-debugger-gui,http://www.affinic.com/?page_id=109,Affinic Debugger GUI,http://www.affinic.com/download/adg_macosx.dmg,latest
after-dark-classic,http://en.infinisys.co.jp/product/afterdarkclassicset/index.shtml,After Dark Classic Set,ftp://www.infinisys.co.jp/online/online_afterdarkclassicset_e.dmg.gz,latest
aimersoft-video-converter-ultimate,http://www.aimersoft.com/mac-video-converter-ultimate.html,Aimersoft Video Converter Ultimate,http://download.aimersoft.com/aimer-mac-video-converter-ultimate_full747.dmg,""
air-connect,https://avatron.com/get-air-connect/,Air Connect,"",""
air-video-server-hd,http://www.inmethod.com/airvideohd,Air Video Server HD,"",""
airdisplay,http://avatron.com/apps/air-display/,Air Display,"",""
airdroid,https://www.airdroid.com/,AirDroid,"",""
airfile,http://airfileapp.tumblr.com/,AirFile,"",""
airflick,http://ericasadun.com/ftp/AirPlay/,AirFlick,"",""
airflow,http://airflowapp.com/,Airflow,"",""
airfoil,https://www.rogueamoeba.com/airfoil/mac/,Airfoil,https://rogueamoeba.com/airfoil/download/Airfoil.zip,""
airmedia,https://www.crestron.com/microsites/airmedia-mobile-wireless-hd-presentations,Crestron AirMedia,"",""
airmount,https://www.airmountapp.com/,AirMount,https://www.airmountapp.com/osx/AirMount.pkg,latest
airparrot,http://www.airsquirrels.com/airparrot/,AirParrot,"",""
airserver,https://www.airserver.com,AirServer,"",""
airtable,https://airtable.com/,Airtable,https://static.airtable.com/download/AirtableInstaller.dmg,latest
airtame,https://airtame.com,Airtame,"",""
airtool,https://www.adriangranados.com/apps/airtool,Airtool,"",""
airvpn,https://airvpn.org/macosx/,Air VPN,"",""
airy,http://mac.eltima.com/youtube-downloader-mac.html,Airy,"",""
aja-system-test,https://www.aja.com/en/products/aja-system-test,AJA System Test,"",""
aladin,http://aladin.u-strasbg.fr/AladinDesktop/,Aladin Desktop,http://aladin.u-strasbg.fr/java/download/Aladin.dmg,latest
alarm-clock,https://wayback.archive.org/web/20130123192255/http://www.robbiehanson.com/alarmclock/,Alarm Clock,"",""
alcatraz,http://alcatraz.io,alcatraz,"",""
alchemy,http://al.chemy.org,Alchemy,"",""
alfred,https://www.alfredapp.com/,Alfred,"",""
algodoo,http://www.algodoo.com,Algodoo,"",""
alib1,http://presstube.com/blog/2011/alib1/,ALib1,http://presstube.com/screensavers/Presstube-ALib1-mac.zip,latest
alice,https://www.ps.uni-saarland.de/alice/,Alice,"",""
aliedit,https://110.alipay.com/sc/aliedit/intro.htm,支付宝控件,https://download.alipay.com/sec/edit/wkaliedit.dmg,latest
alinof-timer,https://www.alinofsoftware.ch/apps/products-timer/index.html,Alinof Timer,https://www.alinofsoftware.ch/resources/AlinofTimer.pkg,latest
aliwangwang,https://wangwang.taobao.com,Ali Wangwang,"",""
aliworkbench,https://qianniu.1688.com,AliWorkBench,"",""
alternote,http://alternoteapp.com/,Alternote,"",""
amadeus-pro,http://www.hairersoft.com/pro.html,Amadeus Pro,https://s3.amazonaws.com/AmadeusPro2/AmadeusPro.dmg,latest
amazon-drive,https://www.amazon.com/clouddrive/home/,Amazon Drive,https://d29x207vrinatv.cloudfront.net/mac/AmazonDriveInstaller.dmg,latest
amazon-music,https://www.amazon.com/gp/feature.html/?ie=UTF8&docId=1001067901,Amazon Music,"",""
amazon-workdocs,https://aws.amazon.com/workdocs/,Amazon WorkDocs,https://d28gdqadgmua23.cloudfront.net/mac/Amazon%20WorkDocs.pkg,latest
amazon-workspaces,https://clients.amazonworkspaces.com/,Amazon Workspaces,https://d2td7dqidlhjx7.cloudfront.net/prod/global/osx/WorkSpaces.pkg,latest
amethyst,https://ianyh.com/amethyst/,Amethyst,"",""
amidst,https://github.com/toolbox4minecraft/amidst,amidst,"",""
ammonite,http://www.soma-zone.com/Ammonite/,Ammonite,"",""
ampps,http://www.ampps.com,AMPPS,"",""
anaconda,https://www.continuum.io/why-anaconda,Continuum Analytics Anaconda,"",""
anatine,https://github.com/sindresorhus/anatine,Anatine,"",""
android-file-transfer,https://www.android.com/filetransfer/,Android File Transfer,https://dl.google.com/dl/androidjumper/mtp/current/androidfiletransfer.dmg,latest
android-studio,https://developer.android.com/sdk/,Android Studio,"",""
androidtool,https://github.com/mortenjust/androidtool-mac,AndroidTool,"",""
andy,https://www.andyroid.net/,Andy,"",""
angband,http://rephial.org,Angband,"",""
angry-ip-scanner,http://angryip.org,Angry IP Scanner,"",""
animated-gif-quicklook,http://animgifqlgen.sourceforge.net/,Animated GIF Quicklook Plugin,https://downloads.sourceforge.net/animgifqlgen/Animated%20GIF%20Quicklook%20Plugin%20Installer.pkg,""
anki,http://ankisrs.net/,Anki,"",""
anoncoin,https://anoncoin.net,Anoncoin,"",""
anonvpn,https://anonvpn.io/,AnonVPN,"",""
anonym,http://www.hanynet.com/anonym/,Anonym,"",""
anonymousvpn,https://www.anonymousvpn.org/,Anonymous VPN,https://dl.anonymousvpn.org/AnonymousVPN.pkg,latest
ansible-dk,https://github.com/omniti-labs/ansible-dk,Ansible DK,"",""
antconc,http://www.laurenceanthony.net/software/antconc/,AntConc,"",""
antetype,http://antetype.com,Antetype,https://s3.amazonaws.com/AntetypeDownload/Antetype.zip,""
antfileconverter,http://www.laurenceanthony.net/software/antfileconverter/,AntFileConverter,"",""
antpconc,http://www.laurenceanthony.net/software/antpconc/,AntPConc,"",""
antwordprofiler,http://www.laurenceanthony.net/software/antwordprofiler/,AntWordProfiler,"",""
anvil,http://anvilformac.com/,Anvil,"",""
anybar,https://github.com/tonsky/AnyBar,AnyBar,"",""
anyipsum,https://github.com/jlowgren/AnyIpsum,AnyIpsum,"",""
anylist,https://www.anylistapp.com/,AnyList,http://files.anylistapp.com/mac/AnyList.zip,latest
anylogic,http://www.anylogic.com,AnyLogic,"",""
anypass,http://icyblaze.com/anypass/,Anypass,"",""
anytrans,https://www.imobie.com/anytrans/,AnyTrans,https://www.imobie.com/product/anytrans-mac.dmg,latest
apache-couchdb,https://couchdb.apache.org/,Apache CouchDB,"",""
apache-directory-studio,https://directory.apache.org/studio/,Apache Directory Studio,"",""
apm-planner,http://planner2.ardupilot.com/,APM Planner,"",""
apogee-duet,http://www.apogeedigital.com/support/software-downloads#tab-id-8,Apogee Duet,"",""
app-tamer,https://www.stclairsoft.com/AppTamer/,AppTamer,"",""
appcleaner,https://freemacsoft.net/appcleaner/,AppCleaner,"",""
appcode,https://www.jetbrains.com/objc/,AppCode,"",""
appdelete,http://www.reggieashworth.com/appdelete,AppDelete,http://www.reggieashworth.com/downloads/AppDelete.dmg,""
appearin,https://github.com/vitorgalvao/appear.in,appear.in,"",""
appfresh,http://metaquark.de/appfresh/mac,metaquark AppFresh,"",""
appium,https://appium.io/,Appium,"",""
apple-events,https://github.com/insidegui/AppleEvents,Apple Events,"",""
applepi-baker,http://www.tweaking4all.com/hardware/raspberry-pi/macosx-apple-pi-baker/,ApplePi-Baker,http://www.tweaking4all.com/downloads/raspberrypi/ApplePi-Baker.zip,latest
application-loader,https://itunesconnect.apple.com,Application Loader,"",""
apppolice,https://github.com/fuyu/apppolice,AppPolice,"",""
appserver,http://appserver.io/,appserver.io,"",""
appstore-quickview,https://www.marcmoini.com/aq_en.html,App...Store Quickview,https://www.marcmoini.com/App...StoreQuickview.zip,latest
apptivate,http://www.apptivateapp.com,Apptivate,http://www.apptivateapp.com/resources/Apptivate.app.zip,latest
apptrans,https://www.imobie.com/apptrans/,AppTrans,https://www.imobie.com/product/apptrans-mac.dmg,latest
apptrap,http://onnati.net/apptrap/,AppTrap,"",""
appzapper,https://www.appzapper.com/,AppZapper,"",""
aptanastudio,http://www.aptana.com/,Aptana Studio,"",""
aqua-data-studio,http://www.aquafold.com/aquadatastudio.html,Aquafold Aqua Data Studio,"",""
aquamacs,http://aquamacs.org/,Aquamacs,"",""
aquaskk,https://github.com/codefirst/aquaskk,AquaSKK,"",""
aquaterm,https://sourceforge.net/projects/aquaterm/,AquaTerm,"",""
araxis-merge,https://www.araxis.com/merge/,Araxis Merge,"",""
archi,http://www.archimatetool.com,Archi,"",""
archiver,http://archiverapp.com/,Archiver,http://commondatastorage.googleapis.com/incrediblebee/apps/Archiver-3/Archiver.zip,latest
arduino,https://www.arduino.cc/,Arduino,"",""
argouml,http://argouml.tigris.org/,ArgoUML,"",""
aria-maestosa,http://ariamaestosa.sourceforge.net,Aria Maestosa,"",""
armitage,http://www.fastandeasyhacking.com/,Armitage,"",""
armory,https://btcarmory.com/,Armory,"",""
arq,https://www.arqbackup.com/,Arq,"",""
arranger,http://bucketomac.de/arranger/arranger/,Arranger,"",""
arrsync,http://arrsync.sourceforge.net,arRsync,"",""
art-directors-toolkit,https://www.code-line.com/artdirectorstoolkit/,Art Directors Toolkit,"",""
art-of-illusion,http://www.artofillusion.org,Art of Illusion,"",""
ascension,https://github.com/ansilove/Ascension,Ascension,"",""
aseprite,https://www.aseprite.org/,Aseprite,"",""
asepsis,http://asepsis.binaryage.com/,Asepsis,"",""
astah-community,http://astah.net/editions/community,Change Vision Astah Community,"",""
astah-professional,http://astah.net/editions/professional,Change Vision Astah Professional,"",""
astah-sysml,http://astah.net/editions/sysml,Change Vision Astah SysML,"",""
astrill,https://www.astrill.com,Astrill,http://download.astrill.com/astrill-setup-mac.dmg,latest
astroguider,http://www.cloudmakers.eu,AstroGuider,"",""
astroimager,http://www.cloudmakers.eu,AstroImager,"",""
astromenace,http://www.viewizard.com/,AstroMenace,"",""
astrometry,http://www.cloudmakers.eu,Astrometry,"",""
astropad,http://astropad.com/,Astropad,"",""
astrotelescope,http://www.cloudmakers.eu,AstroTelescope,"",""
atext,https://www.trankynam.com/atext/,aText,https://www.trankynam.com/atext/downloads/aText.dmg,""
atlantis,http://www.riverdark.net/atlantis/,Atlantis,"",""
atlauncher,https://www.atlauncher.com/,ATLauncher,https://www.atlauncher.com/download/zip,latest
atom,https://atom.io/,Github Atom,"",""
atraci,https://atraci.github.io/Atraci-website/,Atraci,"",""
au-lab,https://www.apple.com/itunes/mastered-for-itunes/,AU Lab,http://images.apple.com/itunes/mastered-for-itunes/docs/au_lab.zip,latest
audacity-lame-library,http://manual.audacityteam.org/man/faq_installation_and_plug_ins.html#maclame,Lame Library for Audacity,"",""
audacity,http://www.audacityteam.org/,Audacity,"",""
audio-editor,http://www.macsome.com/audio-editor-mac/,Macsome Audio Editor,http://www.macsome.com/AudioEditor.dmg,""
audio-hijack,https://www.rogueamoeba.com/audiohijack/,Audio Hijack,https://rogueamoeba.com/audiohijack/download/AudioHijack.zip,""
audio-notetaker,https://www.sonocent.com/en/the_software/audio_notetaker,Audio Notetaker,http://link.sonocent.com/AudioNotetaker/Mac/Download,latest
audiobook-builder,http://www.splasm.com/audiobookbuilder/,Audiobook Builder,"",""
audiobookbinder,https://bluezbox.com/audiobookbinder.html,Audiobook Binder,"",""
audiomate,https://audiomateapp.com/,AudioMate,"",""
audioscrobbler,https://github.com/mxcl/Audioscrobbler.app,Audioscrobbler,"",""
audioslicer,http://audioslicer.sourceforge.net,AudioSlicer,"",""
audirvana-plus,https://audirvana.com/,"","",""
auftakt,http://itok.jp/blog/software/auftakt/,Auftakt,"",""
auganizer,https://auganizer.com/,Auganizer,"",""
auristor-client,https://www.auristor.com,AuriStor File System Client,"",""
aurora,https://www.oneperiodic.com/products/aurora/,Aurora,"",""
authbuddy,https://www.dssw.co.uk/authbuddy/,authbuddy,https://www.dssw.co.uk/authbuddy/dsswauthbuddy.dmg,latest
authoxy,http://www.hrsoftworks.net,Authoxy,"",""
autodmg,https://github.com/MagerValp/AutoDMG,AutoDMG,"",""
autoffi,http://github.com/autoffi/autoffi,AutoFFI,"",""
automatic,http://codingcurious.com/automatic/,Automatic,"",""
automute,https://github.com/Lorenzo45/AutoMute,AutoMute,"",""
autopano-pro,http://www.kolor.com/panorama-software-autopano-pro.html,Autopano Pro,http://download.kolor.com/app/stable/macleopard,""
avast,https://www.avast.com/,Avast Mac Security,http://download.ff.avast.com/mac/avast_free_mac_security.dmg,latest
avibrazil-rdm,https://github.com/avibrazil/RDM,RDM,"",""
avidcodecsle,https://www.avid.com/US/industries/workflow/DNxHD-Codec,Avid DNxHR codec,"",""
avidemux,https://www.avidemux.org/,Avidemux,"",""
avira-antivirus,https://www.avira.com/en/free-antivirus-mac,Avira Antivirus,https://install.avira-update.com/package/wks_avira/osx/int/pecl/Avira_Antivirus.pkg,latest
avira-vpn,https://www.avira.com/en/avira-phantom-vpn,Avira Phantom VPN,https://install.avira-update.com/package/vpn/osx/int/vpn.pkg,latest
avocode,https://avocode.com/,Avocode,"",""
avogadro,http://avogadro.openmolecules.net/,Avogadro,"",""
aware,http://awaremac.com,Aware,"",""
awareness,http://iamfutureproof.com/tools/awareness/,Awareness,"",""
aws-vault,https://github.com/99designs/aws-vault,aws-vault,"",""
ax88179,http://www.asix.com.tw/download.php?sub=driverdetail&PItemID=131,AX88179,"",""
axure-rp,https://www.axure.com/,Axure RP,https://axure.cachefly.net/AxureRP-Setup.dmg,latest
back-in-time,http://www.tri-edre.com/english/backintime.html,Back-In-Time,http://www.tri-edre.com/pub/files/backintime4.dmg,latest
